<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Îles Crozet","-46.41667","51","Present","-","Introduced","1800nulls","Invasive","ISSG (2011)","-"
"Egypt","27","30","Present","-","-","-","-","CAB ABSTRACTS Data Mining 2001","-"
"Kenya","1","38","Present","-","-","-","-","CAB ABSTRACTS Data Mining 2001","-"
"Mauritius","-20.3","57.58333","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"Mayotte","-12.83333","45.16667","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Nigeria","10","8","Present","-","-","-","-","CAB ABSTRACTS Data Mining 2001","-"
"Reunion","-21.1","55.6","Present","-","Introduced","1680","Invasive","ISSG (2011)","-"
"Saint Helena","-15.95","-5.7","Present","-","Introduced","1513-1665","Invasive","ISSG (2011)","-"
"Ascension","-7.95","-14.35","Present","-","Introduced","1656-1754, possibly 1701","Invasive","ISSG (2011)","-"
"Tristan da Cunha","-37.25","-12.5","Present","-","Introduced","1882","Invasive","ISSG (2011)","-"
"Seychelles","-4.682","55.483","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"Tanzania","-6","35","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"Chagos Archipelago","-6","72","Restricted distribution","-","Introduced","pre-1840","Invasive","ISSG (2011)","-"
"India","20","77","Present","-","Native","-","No","ISSG (2011)","-"
"State of Bihar","25.75","85.75","Present","-","-","-","-","CAB ABSTRACTS Data Mining 2001","-"
"State of Himachal Pradesh","31","78","Present","-","-","-","-","CAB ABSTRACTS Data Mining 2001","-"
"Anguilla","18.21667","-63.05","Present","-","Introduced","-","-","ISSG (2011)","-"
"Antigua and Barbuda","17.05","-61.8","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"Bahamas","24.636","-78.055","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Barbados","13.16667","-59.53333","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"British Virgin Islands","18.423","-64.618","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Cayman Islands","19.319","-81.24","Present","-","Introduced","1503","Invasive","ISSG (2011)","-"
"Cuba","22","-79.5","Present","-","-","-","-","Schotman (1989)","-"
"Curaçao","12.16667","-69","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Dominica","15.5","-61.33333","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Dominican Republic","19","-70.66667","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Guadeloupe","16.25","-61.58333","Present","-","Introduced","17th century","Invasive","ISSG (2011); Schotman (1989)","-"
"Haiti","19","-72.41667","Present","-","-","-","-","Schotman (1989)","-"
"Jamaica","18.25","-77.5","Present","-","Introduced","-","Invasive","ISSG (2011); Schotman (1989)","-"
"Martinique","14.66667","-61","Present","-","Introduced","17th century","Invasive","ISSG (2011); Schotman (1989)","-"
"Montserrat","16.75","-62.2","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Puerto Rico","18.24829","-66.49989","Present","-","Introduced","-","Invasive","ISSG (2011)","From urban areas in lowlands to >300 m elevation in rainforest"
"Saint Lucia","13.88333","-60.96667","Widespread","-","Introduced","-","Invasive","Caribbean Conservation Association (1991); ISSG (2012)","-"
"Saint Vincent and the Grenadines","13.252","-61.188","Present","-","-","-","-","Schotman (1989)","-"
"Trinidad and Tobago","10.45","-61.25","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Turks and Caicos Islands","21.815","-71.744","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Europe","48.69096","9.14062","Present","-","-","-","-","-","-"
"France","46","2","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Italy","42.83333","12.83333","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Malta","35.91667","14.43333","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"Portugal","39.5","-8","Present","-","-","-","-","-","Present based on regional distribution."
"Regiao Autonoma dos Acores","38.5","-28","Present","-","-","-","-","CAB ABSTRACTS Data Mining 2001","-"
"United Kingdom","54","-2","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"Bermuda","32.3","-64.752","Present","-","Introduced","1613; 1612 or before","Invasive","ISSG (2011)","-"
"Canada","60.10867","-113.64258","Present","-","-","-","-","-","Present based on regional distribution."
"British Columbia","53.99983","-125.0032","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Mexico","23","-102","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"United States","39.76","-98.5","Present","-","-","-","-","Samol (1972)","-"
"Arizona","34.5003","-111.50098","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"California","37.25022","-119.75126","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Florida","28.75054","-82.5001","Present","-","-","-","-","Worth (1950)","-"
"Hawaii","20.75028","-156.50028","Present","-","Introduced","c. 1870-1880, possibly earlier","Invasive","ISSG (2011)","-"
"American Samoa","-14.3","-170.71","Present","-","Introduced","1865-1973","Invasive","ISSG (2011)","-"
"Australia","-25","135","Present","-","-","-","-","-","Present based on regional distribution."
"State of Western Australia","-25","122","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"Cook Islands","-21.217","-159.787","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"Fiji","-18","178","Present","-","Introduced","pre-1876","Invasive","ISSG (2011)","-"
"French Polynesia","-15","-140","Present","-","Introduced","pre-1920","Invasive","ISSG (2011)","-"
"Guam","13.481","144.7315","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Kiribati","1.851","-157.395","Present","-","Introduced","1940s","Invasive","ISSG (2011)","-"
"Line Islands","1.84607","-157.419608","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Marshall Islands","7.103","171.155","Present","-","Introduced","pre-1932","Invasive","ISSG (2011)","-"
"Midway Islands","28.210332","-177.374611","Present","-","Introduced","1940","Invasive","ISSG (2011)","-"
"Nauru","-0.517","166.933","Present","-","Introduced","pre-1979","Invasive","ISSG (2011)","-"
"New Caledonia","-21.5","165.5","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"New Zealand","-42","174","Restricted distribution","-","Introduced","-","Invasive","ISSG (2011)","-"
"Niue","-19.03333","-169.86667","Present","-","Introduced","1900-1925","Invasive","ISSG (2011)","-"
"Northern Mariana Islands","15.214","145.756","Present","-","Introduced","pre-1931","Invasive","ISSG (2011)","-"
"Palau","7.503","134.621","Present","-","Introduced","-","Invasive","ISSG (2011); ISSG (2013)","Reported on Babeldaob, Kayangel and Koror Islands"
"Papua New Guinea","-6","147","Present","-","Introduced","1943","Invasive","ISSG (2011)","-"
"Phoenix Islands","-2.807942","-171.677486","Present","-","Introduced","1885","Invasive","ISSG (2011)","-"
"Samoa","-13.669","-172.253","Present","-","Introduced","1841-1923","Invasive","ISSG (2011); ISSG (2013)","-"
"Solomon Islands","-8","159","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Tonga","-21.189","-175.201","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Tuvalu","-8.51719","179.14478","Present","-","Introduced","1922","Invasive","ISSG (2011)","-"
"Vanuatu","-15.36","166.9","Present","-","Introduced","pre-1923","Invasive","ISSG (2011)","-"
"Wake Island","19.309523","166.599783","Present","-","Introduced","1923-51","Invasive","ISSG (2011)","-"
"Wallis and Futuna Islands","-14.28694","-178.13083","Present","-","Introduced","-","Invasive","ISSG (2011)","-"
"Bolivia","-17","-65","Present","-","-","-","-","CAB ABSTRACTS Data Mining 2001","-"
"Brazil","-10","-55","Present","-","-","-","-","CAB ABSTRACTS Data Mining 2001","-"
"Sao Paulo","-4.78333","-38.76667","Present","-","-","-","-","CAB ABSTRACTS Data Mining 2001","-"
"Colombia","4","-72","Present","-","-","-","-","Schotman (1989)","-"
"Ecuador","-2","-77.5","Present","-","-","-","-","-","Present based on regional distribution."
"Galapagos Islands","0","-90.5","Present","-","Introduced","17th century","Invasive","ISSG (2011)","-"
"Falkland Islands","-51.75","-59.16667","Present","-","Introduced","late 18th century","Invasive","ISSG (2011)","-"
"French Guiana","4","-53","Present","-","-","-","-","Schotman (1989)","-"
"Suriname","4","-56","Present","-","-","-","-","Schotman (1989)","-"
"Venezuela","8","-66","Present","-","-","-","-","Schotman (1989)","-"
