<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"China","35","105","Restricted distribution","-","Introduced","2004","Invasive","CABI/EPPO (2010); EPPO (2014); IPPC (2008); ISSG (2014)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Introduced","2005","Invasive","ISSG (2014); CABI/EPPO (2010); EPPO (2014); IPPC (2008)","-"
"Guangdong Sheng","23","113","Present","-","Introduced","-","Invasive","ISSG (2014); CABI/EPPO (2010); EPPO (2014); IPPC (2008)","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Present","-","Introduced","2005","Invasive","ISSG (2014); CABI/EPPO (2010); EPPO (2014); IPPC (2008)","-"
"Hunan Sheng","28","112","Present","-","-","-","-","IPPC (2008); CABI/EPPO (2010); EPPO (2014)","-"
"Jiangsu Sheng","33","120","Present","-","-","-","-","Yang and Zhong (2006)","-"
"Malaysia","2.5","112.5","Present","-","Introduced","-","Invasive","ISSG (2014)","-"
"Singapore","1.36667","103.8","Present","-","Introduced","-","-","ISSG (2014)","-"
"Taiwan","24","121","Present","-","Introduced","-","Invasive","ISSG (2014); CABI/EPPO (2010); Chen et al. (2005); EPPO (2014)","-"
"Anguilla","18.21667","-63.05","Present","-","-","-","-","Wetterer and Davis (2010)","-"
"Antigua and Barbuda","17.05","-61.8","Present","-","Introduced","-","Invasive","Davis et al. (2001); CABI/EPPO (2010); EPPO (2014); Wetterer and Davis (2010)","-"
"Bahamas","24.636","-78.055","Present","-","Introduced","-","Invasive","Davis et al. (2001); CABI/EPPO (2010); EPPO (2014)","-"
"British Virgin Islands","18.423","-64.618","Present","-","Introduced","-","Invasive","Davis et al. (2001); CABI/EPPO (2010); EPPO (2014)","-"
"Cayman Islands","19.319","-81.24","Present","-","Introduced","-","-","ISSG (2009)","-"
"Costa Rica","10","-84","Present","-","-","-","-","CABI/EPPO (2010); EPPO (2014)","-"
"Montserrat","16.75","-62.2","Present","-","-","-","-","Wetterer and Davis (2010)","-"
"Panama","9","-80","Present","-","-","-","-","CABI/EPPO (2010); EPPO (2014)","-"
"Puerto Rico","18.24829","-66.49989","Widespread","-","Introduced","-","Invasive","Davis et al. (2001); CABI/EPPO (2010); EPPO (2014)","-"
"Saint Kitts and Nevis","17.33333","-62.75","Present","-","-","-","-","Wetterer and Davis (2010)","-"
"Sint Maarten","18.04167","-63.06667","Present","-","-","-","-","Wetterer and Davis (2010)","-"
"Trinidad and Tobago","10.45","-61.25","Present","-","Introduced","-","Invasive","Davis et al. (2001); CABI/EPPO (2010); EPPO (2014)","-"
"Turks and Caicos Islands","21.815","-71.744","Present","-","Introduced","-","-","ISSG (2009); CABI/EPPO (2010); EPPO (2014)","-"
"Mexico","23","-102","Present","-","-","-","-","Sánchez-Peña et al. (2005); CABI/EPPO (2010); EPPO (2014); Salas-Araiza et al. (2011)","-"
"United States","39.76","-98.5","Restricted distribution","-","-","-","-","EPPO (2014); CABI/EPPO (2010)","-"
"Alabama","32.75041","-86.75026","Widespread","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"Arizona","34.5003","-111.50098","Present","-","-","-","-","CABI/EPPO (2010); EPPO (2014)","-"
"Arkansas","34.75037","-92.50044","Restricted distribution","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"California","37.25022","-119.75126","Present","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"Colorado","39.00027","-105.50083","Present","-","-","-","-","CABI/EPPO (2010); EPPO (2014)","-"
"Florida","28.75054","-82.5001","Widespread","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"Georgia","32.75042","-83.50018","Widespread","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"Illinois","40.00032","-89.25037","Present","-","-","-","-","CABI/EPPO (2010); EPPO (2014)","-"
"Louisiana","31.00047","-92.0004","Widespread","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"Maryland","39.00039","-76.74997","Present","-","-","-","-","CABI/EPPO (2010); EPPO (2014)","-"
"Mississippi","32.75041","-89.75036","Widespread","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"New Mexico","34.50034","-106.00085","Restricted distribution","-","Introduced","-","-","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"North Carolina","35.50069","-80.00032","Restricted distribution","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"Oklahoma","35.49209","-97.50328","Restricted distribution","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"South Carolina","34.00043","-81.00009","Widespread","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"Tennessee","35.75035","-86.25027","Restricted distribution","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"Texas","31.25044","-99.25061","Restricted distribution","-","Introduced","-","Invasive","Anon., 1999a; CABI/EPPO (2010); EPPO (2014)","-"
"Virginia","37.54812","-77.44675","Present","-","-","-","-","CABI/EPPO (2010); EPPO (2014)","-"
"Australia","-25","135","Present","-","Introduced","-","-","ISSG (2009); CABI/EPPO (2010); EPPO (2014)","-"
"State of Queensland","-20","145","Restricted distribution","-","Introduced","-","Invasive","Drees and Gold (2003); CABI/EPPO (2010); EPPO (2014); IPPC (2010)","-"
"Argentina","-34","-64","Restricted distribution","-","Native","-","No","Vinson and Sorenson (1986); CABI/EPPO (2010); EPPO (2014)","-"
"Bolivia","-17","-65","Present","-","Native","-","No","Pitts (2002)","-"
"Brazil","-10","-55","Restricted distribution","-","Native","-","No","Vinson and Sorenson (1986); CABI/EPPO (2010); EPPO (2014)","-"
"Goias","-15.80277","-50.24132","Present","-","-","-","-","Pesquero and Penteado-Dias (2004)","-"
"Estado de Mato Grosso do Sul","-21","-55","Present","-","-","-","-","CABI/EPPO (2010); EPPO (2014); CABI/EPPO (2010); EPPO (2014)","-"
"Estado de Minas Gerais","-18","-44","Present","-","-","-","-","Conceição et al. (2006)","-"
"Estado do Rio Grande do Sul","-30","-54","Present","-","-","-","-","Diehl et al. (2005); CABI/EPPO (2010); EPPO (2014)","-"
"Estado de Rondonia","-11","-63","Present","-","-","-","-","CABI/EPPO (2010); EPPO (2014)","-"
"Sao Paulo","-4.78333","-38.76667","Present","-","-","-","-","CABI/EPPO (2010); EPPO (2014)","-"
"Paraguay","-22.99333","-57.99639","Restricted distribution","-","Native","-","No","Vinson and Sorenson (1986); CABI/EPPO (2010); EPPO (2014); Pitts (2002)","-"
"Peru","-10","-76","Present","-","Native","-","No","Pitts (2002)","-"
"Uruguay","-33","-56","Present","-","Native","-","No","Pitts (2002)","-"
